n_sections,condition_number,tensor_shape_error
4.000000000000000000e+00,5.045165289201767322e+00,1.491842031149731018e-01
4.000000000000000000e+00,2.587786816551129299e+00,1.964659018367453380e-01
4.000000000000000000e+00,3.515640383692660187e+00,2.748523006709814864e-01
4.000000000000000000e+00,2.177265400036051624e+00,1.795208266758923921e-01
4.000000000000000000e+00,5.027882952776302261e+00,1.441504534416085115e-01
4.000000000000000000e+00,2.929417402678123228e+00,1.751343330000931231e-01
4.000000000000000000e+00,1.971391684654024035e+00,1.647999775842571846e-01
4.000000000000000000e+00,7.216708366237747363e+00,2.999298223021562571e-01
4.000000000000000000e+00,1.233471494541517721e+01,2.377995729521372448e-01
4.000000000000000000e+00,2.146082956855313029e+00,7.034078996796640226e-02
4.000000000000000000e+00,3.419686581559086669e+00,3.148235110154212063e-02
4.000000000000000000e+00,2.615023876117904766e+00,1.705322901424164983e-01
4.000000000000000000e+00,1.315529588263320093e+01,9.319540534345733818e+01
4.000000000000000000e+00,2.075350236814223592e+00,9.271433712607704547e-02
4.000000000000000000e+00,5.978111878411399793e+00,1.372761116482593877e+02
4.000000000000000000e+00,2.496841569032027142e+00,1.877203763498196953e-01
4.000000000000000000e+00,3.519872669132157572e+00,1.083219869471584579e-01
4.000000000000000000e+00,2.049017185777096017e+00,8.951214336126349369e-02
4.000000000000000000e+00,3.458144689661751592e+00,1.066174642518413068e-01
4.000000000000000000e+00,2.644425236700759019e+00,1.035894425298532068e-01
4.000000000000000000e+00,6.059517240003813754e+00,1.459533259830931018e-01
4.000000000000000000e+00,5.151802624457036295e+00,1.242449505480167193e+00
4.000000000000000000e+00,1.905003421660831586e+00,1.785307047976833206e-01
4.000000000000000000e+00,1.887499918736190496e+00,2.154352984805392446e-01
4.000000000000000000e+00,7.201097684907533214e+00,1.510253648356793266e-01
4.000000000000000000e+00,2.531252920606602785e+00,1.182984181126001816e-01
4.000000000000000000e+00,4.438842704836674535e+00,9.198936727493546295e-01
4.000000000000000000e+00,2.677832672210910925e+00,1.021562316141296778e-01
4.000000000000000000e+00,1.833508119235548239e+00,8.984897578587569544e-02
4.000000000000000000e+00,2.661848854120634655e+00,1.158779281717518955e-01
4.000000000000000000e+00,2.054647758389246182e+00,1.575158460509681613e-01
4.000000000000000000e+00,2.866029468972266514e+00,1.398132895671042597e-01
4.000000000000000000e+00,3.890190974380269395e+00,1.910158812160222541e-01
4.000000000000000000e+00,3.775403968307031732e+00,1.334335690237141159e-01
4.000000000000000000e+00,2.206007777214489263e+00,1.084789397924314502e-01
4.000000000000000000e+00,3.114085550025293525e+00,8.891788813961098992e-02
4.000000000000000000e+00,3.641378639117617055e+00,8.016357583762714900e-02
4.000000000000000000e+00,3.513781348316955988e+00,5.968432580895041695e-02
4.000000000000000000e+00,4.705287661314529579e+00,2.001784055355857184e-01
4.000000000000000000e+00,2.193819139093723614e+00,6.196987885713188537e-02
4.000000000000000000e+00,3.186701735369321220e+00,8.693590402622546065e-02
4.000000000000000000e+00,2.488328558453743344e+00,9.463667001697041725e-02
4.000000000000000000e+00,2.450531692981812615e+00,1.335011533766164438e-01
4.000000000000000000e+00,2.475944471421288373e+00,1.315282123220595789e-01
4.000000000000000000e+00,2.444933233954365903e+00,1.427119868043348061e-01
4.000000000000000000e+00,6.114295826408689294e+00,1.717139401315944947e-01
4.000000000000000000e+00,5.747832367477557547e+00,1.392382045582880035e-01
4.000000000000000000e+00,5.019269798667862936e+00,2.273117818114211985e-01
4.000000000000000000e+00,2.946980870271385999e+00,9.945359091655343875e-02
4.000000000000000000e+00,2.588830345858563753e+00,1.221308444687094902e-01
4.000000000000000000e+00,3.816586870032834700e+00,2.683379347625394762e-01
4.000000000000000000e+00,2.657697699804172142e+00,2.125026025022724030e-01
4.000000000000000000e+00,5.780174568655781719e+00,7.187272012260816079e-02
4.000000000000000000e+00,2.431195950106598502e+00,1.311954087569843774e-01
4.000000000000000000e+00,2.211857144386256468e+00,7.452032290314948570e-02
4.000000000000000000e+00,2.144093617967605336e+00,1.753108658782377149e-01
4.000000000000000000e+00,2.011507738600605943e+00,1.412251150645522924e-01
4.000000000000000000e+00,2.259633761235050553e+00,3.230093945954797680e-02
4.000000000000000000e+00,2.201744159538653545e+00,1.547671462027172540e-01
4.000000000000000000e+00,3.875957566808089894e+00,1.317213956888157456e-01
4.000000000000000000e+00,2.402686758507908582e+00,1.832918338420358728e-01
4.000000000000000000e+00,4.558391194326592455e+00,6.727943239807909759e-02
4.000000000000000000e+00,3.849749162215140519e+00,7.530100273264420108e-02
4.000000000000000000e+00,2.973843878248008998e+00,1.796856127285897109e-01
4.000000000000000000e+00,2.513277091687490028e+00,8.022265598450106783e-02
4.000000000000000000e+00,2.241120712265721515e+00,8.302961054165716726e-02
4.000000000000000000e+00,2.138261185097268591e+00,1.733263492356321434e-01
4.000000000000000000e+00,3.738008869501647347e+00,2.207744045022900226e-01
4.000000000000000000e+00,3.791591169106981241e+00,1.046143941983159603e-01
4.000000000000000000e+00,2.421838461137611365e+00,1.835532945089587975e-01
4.000000000000000000e+00,2.355561762768362488e+00,4.250538373838497197e-02
4.000000000000000000e+00,2.234286651055499728e+00,1.030653524712114300e-01
4.000000000000000000e+00,2.146343375090082883e+00,2.042628160514210478e-01
4.000000000000000000e+00,2.521209833742844797e+00,7.884764481148764936e-02
4.000000000000000000e+00,2.438847118215965448e+00,1.559478101689969753e-01
4.000000000000000000e+00,2.550689930819027396e+00,2.236813036098416474e-01
4.000000000000000000e+00,2.260236703966099991e+00,9.425571189339250477e-02
4.000000000000000000e+00,4.305625091172710306e+00,1.609132652061744106e-01
4.000000000000000000e+00,6.380098606718355825e+00,1.715698817816661004e-01
4.000000000000000000e+00,3.255310359932967579e+00,1.667671407822880481e-01
4.000000000000000000e+00,3.687804767712768328e+00,1.851748723260082663e-01
4.000000000000000000e+00,7.205663545668440584e+00,9.714676447963470352e-02
4.000000000000000000e+00,4.202939057692195668e+00,1.163252098867149869e+02
4.000000000000000000e+00,2.333347600335546002e+00,1.215578108450754979e-01
4.000000000000000000e+00,1.677205869439643138e+01,2.812081398817015687e-01
4.000000000000000000e+00,8.355483520051636859e+00,9.543839820743545488e+01
4.000000000000000000e+00,2.219484055350624985e+00,1.470512954756208468e-01
4.000000000000000000e+00,2.076924980317985447e+00,8.051518317500885868e-02
4.000000000000000000e+00,3.339352859818331964e+00,1.240312523772031800e-01
4.000000000000000000e+00,3.379346001069308159e+00,1.157613519096668264e-01
4.000000000000000000e+00,4.400875870877826834e+00,2.122900335487480084e-01
4.000000000000000000e+00,2.204378135124924754e+00,8.330181339570121024e-02
4.000000000000000000e+00,4.593041668049751891e+00,9.344265622525735338e-02
4.000000000000000000e+00,5.499957270121912600e+00,1.681093840658466620e-01
4.000000000000000000e+00,3.937771155164911718e+00,1.422536388340877311e-01
4.000000000000000000e+00,2.246577518014484465e+00,1.581517967678994496e-01
4.000000000000000000e+00,2.352972704590095443e+00,1.872945498989219415e-01
