experiment,seed,porosity,anisotropy_true,section_size,theta_step_deg,interpolation_order,anisotropy_recovered,tensor_shape_error,orientation_error_deg,condition_number
main,40514,0.35,4.0,128,5.0,1,5.466223294546721,0.2617339756344992,14.056383673459868,1.4142135623730947
fov,900503,0.25,3.0,64,5.0,1,2.5296600991146256,0.1738677217198198,26.69760047144531,1.4142135623730947
fov,900503,0.25,3.0,80,5.0,1,2.8606961049702604,0.25004452746647854,26.068628189075238,1.4142135623730947
fov,900503,0.25,3.0,96,5.0,1,3.1299298862154084,0.33116471715496043,14.258762585327773,1.4142135623730947
fov,900503,0.25,3.0,112,5.0,1,3.4735587307822184,0.2896219490382578,12.09619327353136,1.4142135623730947
fov,900503,0.25,3.0,128,5.0,1,3.9784291497503474,0.2572000111487981,6.583087788926314,1.4142135623730947
fov,900503,0.25,3.0,144,5.0,1,3.507011295029567,0.13117964173239802,4.151434811120484,1.4142135623730947
angular,900503,0.25,3.0,128,2.5,1,3.976163666692774,0.2567616465030266,6.5881580883052155,1.4142135623730951
angular,900503,0.25,3.0,128,5.0,1,3.9784291497503474,0.2572000111487981,6.583087788926314,1.4142135623730947
angular,900503,0.25,3.0,128,10.0,1,3.9882151765092204,0.25938374825251,6.578077061647808,1.414213562373095
angular,900503,0.25,3.0,128,15.0,1,3.9990777687957304,0.26113534438080627,6.580688260382569,1.4142135623730951
angular,900503,0.25,3.0,128,30.0,1,3.9763253729117287,0.2554079736712745,6.493268357196196,1.4142135623730954
interpolation,900503,0.25,3.0,104,5.0,0,2.95897426837753,0.13030029290628697,6.9045873125157184,2.3124328910157046
interpolation,900503,0.25,3.0,104,5.0,1,3.0001893598802147,0.13295064858558253,7.183734332756784,2.3124328910157046
fov,900504,0.25,3.0,64,5.0,1,4.534898990069329,0.4048779835939133,30.301128604704715,1.4142135623730947
fov,900504,0.25,3.0,80,5.0,1,2.738954987293198,0.12549569880629666,16.301811459926952,1.4142135623730947
fov,900504,0.25,3.0,96,5.0,1,2.2093524559926823,0.22132439027346348,16.869795251960742,1.4142135623730947
fov,900504,0.25,3.0,112,5.0,1,2.266625236964504,0.21564681478840872,11.683310763148697,1.4142135623730947
fov,900504,0.25,3.0,128,5.0,1,2.5155582689562146,0.1382895701779358,8.16639137723327,1.4142135623730947
fov,900504,0.25,3.0,144,5.0,1,2.9879686595318065,0.03984112363211071,6.071240232706229,1.4142135623730947
angular,900504,0.25,3.0,128,2.5,1,2.5155974126059166,0.13830567080292813,8.166058688348173,1.4142135623730951
angular,900504,0.25,3.0,128,5.0,1,2.5155582689562146,0.1382895701779358,8.16639137723327,1.4142135623730947
angular,900504,0.25,3.0,128,10.0,1,2.5165082500716918,0.1380223446409836,8.113550809208572,1.414213562373095
angular,900504,0.25,3.0,128,15.0,1,2.512661635774942,0.13891345452086795,8.158935763362102,1.4142135623730951
angular,900504,0.25,3.0,128,30.0,1,2.51055904253287,0.13922329702471334,7.827305467823738,1.4142135623730954
interpolation,900504,0.25,3.0,104,5.0,0,2.6400259610192385,0.18661515954605418,3.491991609596232,2.3124328910157046
interpolation,900504,0.25,3.0,104,5.0,1,2.6568279481290773,0.18537953307075325,3.662685549888854,2.3124328910157046
fov,900505,0.25,3.0,64,5.0,1,3.6277679877337046,0.17525994404680917,6.753059969342059,1.4804140565804926
fov,900505,0.25,3.0,80,5.0,1,2.987515251146728,0.01798952387516435,2.159233249047826,1.4142135623730947
fov,900505,0.25,3.0,96,5.0,1,3.414357954620733,0.12630511379340303,2.8325058108047507,1.4142135623730947
fov,900505,0.25,3.0,112,5.0,1,3.204112280661571,0.09200959827806088,3.183267263608413,1.4142135623730947
fov,900505,0.25,3.0,128,5.0,1,3.1084198571229846,0.06921843794654843,2.696734061087845,1.4142135623730947
fov,900505,0.25,3.0,144,5.0,1,3.12958073835142,0.04534523640163032,3.2343053183241333,1.4142135623730947
angular,900505,0.25,3.0,128,2.5,1,3.1070669607198473,0.06891021664933038,2.682619382949831,1.4142135623730951
angular,900505,0.25,3.0,128,5.0,1,3.1084198571229846,0.06921843794654843,2.696734061087845,1.4142135623730947
angular,900505,0.25,3.0,128,10.0,1,3.111087260133518,0.06975931918304856,2.7077709402097754,1.414213562373095
