subvolume_id,n_per_orientation,total_sections,E_median,E_q1,E_q3,E_p05,E_p95,A_ref,A_sparse_median,A_sparse_q1,A_sparse_q3,abs_A_error,eta_sparse_median,phi_rms_median,orientation_reliable
G11,3,9,0.10280134288346976,0.08156537951547227,0.12688568723367868,0.061389599405039026,0.1519821028950767,1.1043763265847821,1.1595860099307227,1.1334734889407072,1.1969616741284148,0.05520968334594056,0.10475810509631653,0.015931857398064013,False
G11,5,15,0.07424804793942091,0.06100520171045522,0.09211816342994568,0.045364849683370595,0.12227033100738104,1.1043763265847821,1.131274221256952,1.1134969191260435,1.1600494968696422,0.026897894672169853,0.11021123241295436,0.010526322437152492,False
G11,7,21,0.0641191547125793,0.052780860890308576,0.07737969753297841,0.03821403617208123,0.09462806261135392,1.1043763265847821,1.1269777983012244,1.1073258298347435,1.1439602293415188,0.022601471716442223,0.11443734773166261,0.00903817365386565,False
G12,1,3,0.1714474911715611,0.12939539287053992,0.19764089789334754,0.09308401380013427,0.26608488474573333,1.1249730298277718,1.268993990874097,1.2074375585340567,1.3280908848364632,0.14402096104632522,0.0505978006058183,0.02024176459542474,False
G12,3,9,0.09179111227638782,0.07396121965385237,0.11124268664609924,0.044198439186361016,0.13769178637691717,1.1249730298277718,1.1883820433180692,1.1524736510803562,1.2205078877089517,0.06340901349029737,0.08098652705912066,0.011384584136710715,False
G12,5,15,0.06958286191924232,0.05790715912418455,0.09000194248474903,0.03967294802212637,0.10948182618142167,1.1249730298277718,1.1760029101169236,1.148382631532447,1.1991239135933958,0.051029880289151786,0.08523588313512569,0.00803196347547401,False
G12,7,21,0.05799804954865561,0.04845002179243025,0.06889198819447492,0.033990812773587814,0.08652676844679846,1.1249730298277718,1.17268536636753,1.1548851061423595,1.1883633964959648,0.04771233653975826,0.08701999098489303,0.006177789051854225,False
G13,1,3,0.2062858050097257,0.1668399062821953,0.27671642876791946,0.12949270116222938,0.41382609949030197,1.1305540126878935,1.343956816966249,1.2849743847581092,1.4412363089668447,0.21340280427835556,0.08103862044534374,0.024620381198858888,False
G13,3,9,0.12245817862709127,0.09156405861812748,0.15335662943723916,0.0692721721840296,0.203684602609848,1.1305540126878935,1.2377133021520568,1.2001094974806266,1.283303637737666,0.10715928946416331,0.14262300272089773,0.012451162134876492,False
G13,5,15,0.09127471690473853,0.07393116685349999,0.1183279490199638,0.04713237619133442,0.15098972634938437,1.1305540126878935,1.2074757721567386,1.1735301372905653,1.2387494504912655,0.07692175946884516,0.15527566703155365,0.009496264401887828,False
G13,7,21,0.0753189002627464,0.06062847809684436,0.09196838261564153,0.03943058275945676,0.11752692476192377,1.1305540126878935,1.1907017507782611,1.1669573203647376,1.2132910410250741,0.060147738090367664,0.17301017248390177,0.0068707759706226855,False
G14,1,3,0.16382927706717684,0.13353432734580228,0.20011784497278937,0.09584363863584669,0.24140570519233195,1.157834699146013,1.264924749002844,1.2174121808928346,1.3248720587986282,0.10709004985683102,0.05112866097337999,0.01803836545867083,False
G14,3,9,0.08844262562213452,0.07179183334126113,0.10714685610616338,0.04014020931107978,0.13430315929393966,1.157834699146013,1.193179377849742,1.158940090081631,1.2245862379093773,0.03534467870372904,0.07909143827890801,0.009679593678691466,False
G14,5,15,0.06684449200335178,0.0547043733762323,0.08341583905171993,0.036824844334789775,0.10242478489653864,1.157834699146013,1.1761904025226633,1.1546695070830897,1.1998560567145284,0.01835570337665038,0.08460492193088248,0.00702704643710857,False
G14,7,21,0.054011655026842215,0.043631403844736974,0.06747791085431797,0.031232445951236778,0.08316707333601799,1.157834699146013,1.17044905626085,1.1511768979836448,1.1865390013515178,0.01261435711483716,0.08634306063731684,0.005282598492376356,False
G15,1,3,0.188361151494709,0.14700523596093354,0.23852965594987416,0.09003073563238806,0.3306974976179276,1.1246973019381703,1.2795360263749327,1.203899711370222,1.3600030126631981,0.1548387244367624,0.06961421646167325,0.031291162943831274,False
