subvolume_id,n_per_orientation,total_sections,E_median,E_q1,E_q3,E_p05,E_p95,A_ref,A_sparse_median,A_sparse_q1,A_sparse_q3,abs_A_error,eta_sparse_median,phi_rms_median,orientation_reliable,n_attempted,n_valid,n_invalid,valid_fraction
G12,1,3,0.5079861350740229,0.36021718114653667,0.7076520701514133,0.2126627335644922,1.4996294839637379,1.4298091654924991,1.9462347403006872,1.6835716096733997,2.53156454447988,0.5164255748081881,0.26959487426133333,0.04195323766019177,False,200,200,0,1.0
G12,3,9,0.356301773747337,0.2699681237591083,0.4581702960807486,0.17556575448088022,0.6185346867892947,1.4298091654924991,1.6266039496431932,1.5017707214947214,1.7910500918251469,0.19679478415069407,0.3874210093125725,0.024749900269787274,False,200,200,0,1.0
G12,5,15,0.3058549599539402,0.2428742009631395,0.37710834577035074,0.14866128736051004,0.49881140810317126,1.4298091654924991,1.5341083545321612,1.449453557666061,1.6450500282319878,0.10429918903966207,0.3866974840929702,0.014529192812339138,False,200,200,0,1.0
G12,7,21,0.30700709204236687,0.2562475802639378,0.3637953285862705,0.18451611618687688,0.43714954239676096,1.4298091654924991,1.5245774429913825,1.4544846050889797,1.6086656247379167,0.09476827749888339,0.401779665986181,0.012553052202311614,False,200,200,0,1.0
G13,1,3,0.34315087034392766,0.22538688459088058,0.46557221303508434,0.1337875679720943,0.7436172404540036,1.297825619895529,1.5463065415930055,1.4200309816923486,1.8497431604689507,0.2484809216974766,0.16703903600246897,0.03745804371464414,True,200,200,0,1.0
G13,3,9,0.18276370046391177,0.14396453908558912,0.24151530151484465,0.09165381288892104,0.32151272490523347,1.297825619895529,1.3325328575771764,1.285135520582207,1.4065887389096514,0.03470723768164752,0.2526206597294322,0.020248559633822653,True,200,200,0,1.0
G13,5,15,0.16857437626349592,0.1290600259877046,0.20402216054955685,0.0915715560823665,0.2543430097128359,1.297825619895529,1.3011684280940807,1.2648295729936598,1.3505817771675137,0.0033428081985518165,0.29034314991934596,0.01575995010118727,True,200,200,0,1.0
G13,7,21,0.1491924664744952,0.12331774902175617,0.18106539715399844,0.0883118923207836,0.22254375195579398,1.297825619895529,1.2836447946190561,1.2581902935816438,1.3150551750662072,0.014180825276472797,0.29028600468088706,0.013758776536720134,True,200,200,0,1.0
G14,1,3,0.4401837485653961,0.29271682634562185,0.7116854810412728,0.1697928576813738,1.7054490554255683,1.174736499397312,1.6249256540117614,1.4297817950762057,2.1901958069613174,0.4501891546144494,0.22242835759672758,0.039513829808048836,False,200,200,0,1.0
G14,3,9,0.23848121860083993,0.17864965000178937,0.3051679010204763,0.11586707255334112,0.40998752594978277,1.174736499397312,1.280077309926153,1.211402884322821,1.409708119047715,0.10534081052884114,0.4248713513029868,0.019247744148227323,False,200,200,0,1.0
G14,5,15,0.1891776501211141,0.14316479417452288,0.22742910863790708,0.10719187601731361,0.2932035677546055,1.174736499397312,1.1949472517559774,1.1455031129782611,1.2565881569974917,0.02021075235866543,0.44182217884245367,0.014027354165134748,False,200,200,0,1.0
G14,7,21,0.16083432117642538,0.1372397851986511,0.18754597028928682,0.111378038634581,0.23129586500714033,1.174736499397312,1.1613679491209896,1.1269508701702424,1.2007459955269109,0.013368550276322333,0.4366591524350877,0.01100647965597716,False,200,200,0,1.0
